"NGC","Description","ra_hour_decimal","dec_deg_decimal"
1,"Galaxy Peg",0.121666666666667,27.7166666666667
2,"Galaxy Peg",0.121666666666667,27.6833333333333
3,"Galaxy Psc",0.121666666666667,8.28333333333333
5,"Galaxy And",0.13,35.35
7,"Galaxy Scl",0.14,-29.9166666666667
9,"Galaxy Peg",0.148333333333333,23.8166666666667
10,"Galaxy Scl",0.143333333333333,-33.8666666666667
11,"Galaxy And",0.145,37.4333333333333
12,"Galaxy Psc",0.145,4.61666666666667
13,"Galaxy And",0.146666666666667,33.4333333333333
14,"Galaxy Peg",0.146666666666667,15.8166666666667
15,"Galaxy Peg",0.151666666666667,21.6
16,"Galaxy Peg",0.151666666666667,27.7333333333333
17," Cet",0.183333333333333,-12.1
19," And",0.156666666666667,32.8333333333333
20,"Galaxy And",0.158333333333333,33.3166666666667
21,"Galaxy And",0.178333333333333,32.9833333333333
22,"Galaxy Peg",0.163333333333333,27.8333333333333
23,"Galaxy Peg",0.165,25.9166666666667
24,"Galaxy Scl",0.165,-24.9666666666667
25,"Galaxy Phe",0.165,-57.05
26,"Galaxy Peg",0.173333333333333,25.8333333333333
27,"Galaxy And",0.175,29
28,"Galaxy Phe",0.171666666666667,-57.0166666666667
29,"Galaxy And",0.18,33.35
31,"Galaxy Phe",0.175,-57
34,"Galaxy Cet",0.185,-12.1
35,"Galaxy Cet",0.186666666666667,-12
36,"Galaxy Psc",0.19,6.38333333333333
37,"Galaxy Phe",0.188333333333333,-56.9666666666667
38,"Galaxy Psc",0.198333333333333,-5.6
39,"Galaxy And",0.205,31.05
40,"Planetary Nebula Cep",0.216666666666667,72.5333333333333
41,"Galaxy Peg",0.213333333333333,22.0333333333333
42,"Galaxy Peg",0.215,22.1
43,"Galaxy And",0.216666666666667,30.9
45,"Galaxy Cet",0.235,-23.1833333333333
47,"Galaxy Cet",0.241666666666667,-7.18333333333333
48,"Galaxy And",0.233333333333333,48.2333333333333
49,"Galaxy And",0.238333333333333,48.2333333333333
50,"Galaxy Cet",0.245,-7.33333333333333
51,"Galaxy And",0.243333333333333,48.25
52,"Galaxy Peg",0.243333333333333,18.55
53,"Galaxy Tuc",0.245,-60.3333333333333
54,"Galaxy Cet",0.251666666666667,-7.13333333333333
55,"Galaxy Scl",0.248333333333333,-39.1833333333333
57,"Galaxy Psc",0.256666666666667,17.3
58," Cet",0.241666666666667,-7.16666666666667
59,"Galaxy Cet",0.258333333333333,-21.45
60,"Galaxy Psc",0.266666666666667,-0.3
62,"Galaxy Cet",0.285,-13.4666666666667
